contrast	genes_s1	s1_dslope	s1_null	s1_z	s2_posshift	s2_z	novel_g1	novel_g2	novel_ratio
degron_d1aid_Day2	4542	0.0728	-0.0	2.78	-0.0939	-0.67	321	777	0.41
degron_d1aid_Day8	4679	0.7594	0.0	2.92	-0.055	1.22	1032	2065	0.5
degron_dual_Day2	4393	0.1263	0.0	2.97	-0.0676	0.49	797	1333	0.6
degron_dual_Day6	5810	0.1736	-0.0	2.45	-0.0769	2.88	2778	710	3.91
degron_dual_Day8	4059	1.6685	0.0	3.25	-0.0482	1.09	2234	7853	0.28
